date,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,snow_depth_meteostat,wind_speed_meteostat,wind_gust_meteostat,pressure_meteostat,sunshine_meteostat,cloud_cover_meteostat
2025-06-14,37.1,31.4,45.0,38,0.0,,13.3,,999.6,,0
2025-06-15,36.2,31.8,40.3,33,0.0,,11.8,,996.8,,0
2025-06-16,36.6,32.9,40.3,42,0.0,,12.9,,994.7,,0
2025-06-17,38.2,31.9,45.5,39,0.0,,12.8,,995.1,,0
2025-06-18,35.7,30.0,42.2,43,0.0,,12.9,,996.3,,0
2025-06-19,34.9,30.0,42.4,62,0.0,,14.0,,996.6,,0
2025-06-20,34.8,30.0,43.0,59,0.0,,13.5,,997.0,,1
2025-06-21,34.9,29.5,42.1,61,0.0,,11.5,,997.8,,0
2025-06-22,34.9,29.9,41.4,54,0.0,,10.9,,997.6,,0
2025-06-23,34.4,29.4,39.8,56,0.0,,14.7,,996.1,,0
2025-06-24,35.1,29.7,42.1,44,0.0,,15.8,,994.8,,0
2025-06-25,34.9,30.8,41.0,44,0.0,,15.0,,994.0,,1
2025-06-26,35.1,30.0,40.3,60,0.0,,13.4,,995.2,,0
2025-06-27,36.8,34.0,43.0,45,0.0,,13.0,,994.7,,0
2025-06-28,36.6,33.5,41.7,51,0.0,,12.2,,993.9,,1
2025-06-29,34.9,33.0,41.3,55,0.0,,11.7,,992.9,,2
2025-06-30,34.5,30.7,38.4,60,0.0,,11.8,,993.1,,1
2025-07-01,36.3,31.0,41.0,48,0.0,,10.8,,994.0,,0
2025-07-02,35.1,31.8,39.9,53,0.0,,12.4,,994.6,,0
